app	total	age_1	age_2	age_3	age_4	age_5	age_6	gini	gain
兔小贝拼音	14951	23.0	694.0	2148.0	6596.0	4799.0	684.0	0.7964108039517931	1.6278989347632868
全民欢乐斗地主	18763	56.0	3341.0	4014.0	4547.0	4493.0	2302.0	0.7964349389655379	1.6279603447017459
冒险传奇	11496	6.0	319.0	1349.0	4536.0	4511.0	769.0	0.7964150379895826	1.6279074033620153
华为收音机	77415	1476.0	18280.0	13741.0	16703.0	18591.0	8561.0	0.7964342362697243	1.6279547861507573
单职业传奇	12084	28.0	1218.0	2418.0	5086.0	3003.0	330.0	0.7964224374828593	1.6279275298608764
南宁智慧人社	20556	10.0	2396.0	3950.0	5109.0	6591.0	2489.0	0.796428526254997	1.6279434492515181
博乐填大坑	13864	21.0	2438.0	3929.0	4092.0	2901.0	480.0	0.7964303405341759	1.627943657629144
友趣通	10233	5.0	1527.0	2353.0	2384.0	2625.0	1331.0	0.7964345471305021	1.6279589772819891
双开助手分身多开	18565	7.0	2946.0	5181.0	5174.0	4123.0	1126.0	0.7964301699301238	1.6279446677395641
嗨瘦	138849	2924.0	45718.0	27641.0	27748.0	23961.0	10688.0	0.796394007387751	1.627852460665249
天天看视频	10182	64.0	1867.0	1887.0	2226.0	2383.0	1724.0	0.7964351664292103	1.627961279129921
小月历	11116	23.0	1656.0	2689.0	3227.0	2832.0	676.0	0.7964326284993255	1.627953249071853
小米社区	1813053	28283.0	561748.0	354135.0	358085.0	339889.0	168901.0	0.7960817014276598	1.6271094450681076
小米视频追剧助手	1547559	1240.0	203727.0	304778.0	394149.0	422480.0	218811.0	0.7961171129983671	1.6269802339070443
就问律师法律咨询	51621	64.0	7494.0	12484.0	13831.0	12089.0	5616.0	0.7964268276106647	1.6279361794082048
幻影wifi	18913	163.0	6665.0	4426.0	3296.0	2999.0	1351.0	0.7964266889379833	1.627942010165179
应用变量	23817	407.0	11440.0	5448.0	3030.0	2092.0	1335.0	0.7963944012484544	1.62787318658291
应用市场（wifi万能钥匙）	24934	111.0	2523.0	2665.0	4461.0	7996.0	7127.0	0.7964102048211074	1.6278919034219737
开心数独	40838	191.0	9336.0	9260.0	10585.0	9318.0	2129.0	0.7964305538147647	1.627940005890496
弹来弹趣	30843	272.0	9982.0	7101.0	6438.0	5530.0	1509.0	0.7964254505902946	1.6279324720326565
律兜律师法律咨询	20153	36.0	3615.0	5572.0	5853.0	3861.0	1197.0	0.7964295761553017	1.6279440305846558
思月	10713	99.0	3246.0	2886.0	2526.0	1535.0	418.0	0.7964310197956114	1.6279481977702648
我来数科	75861	99.0	15712.0	21054.0	21471.0	15741.0	1764.0	0.7964087072494462	1.627845418544972
手机安全管家	21275	195.0	3521.0	3840.0	4335.0	4994.0	4275.0	0.7964322848654253	1.6279526288013675
新功能演示	48286	113.0	12766.0	12349.0	11545.0	8945.0	2545.0	0.7964256286815176	1.6279250112007497
新华e学	16192	7.0	1024.0	2948.0	4305.0	5435.0	2462.0	0.796424697245797	1.6279308142504958
旧版追书神器	28943	187.0	12863.0	7293.0	4472.0	3051.0	1072.0	0.7963963019658558	1.6278699018299971
早安语录	77235	377.0	18880.0	20892.0	20476.0	13297.0	3278.0	0.7964129050241155	1.6278818542152207
易微联	64422	68.0	4382.0	9091.0	15800.0	23206.0	11749.0	0.796381780135518	1.627813652602759
智能识屏	83647	240.0	10550.0	17350.0	23326.0	23257.0	8831.0	0.7964135492755116	1.627903721739919
月子餐	19506	11.0	1551.0	5684.0	7092.0	3738.0	1424.0	0.7964181174446737	1.6279165408613525
水城通e行	22068	208.0	5542.0	3581.0	5150.0	4760.0	2796.0	0.7964348272750733	1.6279609816430396
汉字拼音	10458	27.0	4078.0	2515.0	1897.0	1470.0	467.0	0.7964276197906336	1.6279424858621008
汽车大全	198184	292.0	31648.0	44111.0	49409.0	49516.0	23094.0	0.7964161415694426	1.6278976113719255
汽车街	13587	7.0	1049.0	2946.0	4658.0	3850.0	1055.0	0.7964261497671735	1.6279363022790707
注册会计师随身学	19449	16.0	4468.0	7876.0	4168.0	2314.0	601.0	0.7964148632271328	1.627906833817065
海赚资讯	19777	332.0	5011.0	3654.0	3741.0	3479.0	3439.0	0.7964333217331162	1.627955771503972
淘票票	1915084	7173.0	476007.0	477527.0	423831.0	404026.0	125206.0	0.7961982694241605	1.6270446366557225
澳门威尼斯人	42621	376.0	11173.0	9782.0	10278.0	8479.0	2512.0	0.7964299221771335	1.6279416490832117
点众阅读	66264	635.0	18509.0	15961.0	14093.0	11452.0	5582.0	0.796424778439219	1.6279344140231284
